id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,target
0,A,I,A,B,B,BI,A,S,Q,A,LO,A,A,A,A,B,D,D,B,0.6298580932886344,0.8553490496453626,0.7594386994154677,0.795549256871245,0.6819172514031219,0.6216718236057862,0.5921843772206821,0.7919207159113629,0.8152537462248601,0.965006328742958,0.6659151198639575,0
1,A,I,A,A,E,BI,K,W,AD,F,HJ,A,B,A,B,D,B,D,B,0.37072710368935663,0.32892942328506936,0.3863848396544993,0.5413662314603979,0.3889824529295912,0.3577782607273347,0.6000435979273233,0.4087010629559668,0.39935257249894734,0.9274058250023683,0.4937292188969079,0
2,A,K,A,A,E,BI,A,E,BM,L,DJ,A,B,A,A,B,D,D,B,0.5022716956789236,0.32274884251498537,0.3432547395332873,0.6163515586940255,0.7936867983255183,0.5528768777542055,0.35211338219817845,0.3888348567776837,0.41230312338993824,0.29269552318731995,0.5494523936681402,0
3,A,K,A,C,E,BI,A,Y,AD,F,KV,A,A,A,A,B,D,D,B,0.9342419625918952,0.7076629049417019,0.8311474036179455,0.8078069371023433,0.8000324403509642,0.6191471898696493,0.22178892366843675,0.8976170717085774,0.633669267047496,0.7603181927175735,0.9342422730322448,0
4,A,I,G,B,E,BI,C,G,Q,A,DP,A,A,A,B,B,B,D,B,0.2544273861735361,0.2745137182590417,0.3388179288828572,0.2773076638614053,0.6105781545188853,0.12829101986825742,0.578764269381999,0.2791671281711305,0.3511026549172377,0.3570835797113264,0.3289598322079217,1
7,A,I,C,A,E,BI,C,AV,Y,C,GE,A,A,A,A,B,D,D,B,0.4804559243715434,0.41303785132218096,0.5247598507510873,0.5800848367293447,0.30149826577889793,0.2610547566349504,0.19398779889317866,0.9356880595710392,0.6858683871027226,0.27769390567127633,0.4281151626805568,0
10,A,A,G,A,H,BI,A,S,AD,E,HQ,A,A,A,B,D,D,D,B,0.7990310993203409,0.7078401291911535,0.6784657469351736,0.7471245998466333,0.6782124536907388,0.5536086678225345,0.2817192603246147,0.7687815489305171,0.688579504134546,0.32069869087124314,0.6422556549701504,0
12,A,F,A,A,I,BI,C,AF,AG,A,HC,A,A,A,A,D,B,C,C,0.4926814530992951,0.9667189858236366,0.9435451903471752,0.20974413986014828,0.670577473327188,0.7726500882391583,0.8457507959683053,0.5073204963217814,0.9272039435390764,0.6057546745540119,0.4541548848269649,1
13,B,I,A,A,E,BI,C,AK,AE,E,EK,A,A,A,A,B,D,D,B,0.6455185955335179,0.6647182194397835,0.6351946723430469,0.6722641728300989,0.5611273899528272,0.4198726961971377,0.5085500501288863,0.6732672496281089,0.3561026022893177,0.4715188183487216,0.4995543575404735,0
14,A,L,A,B,E,BI,C,AF,AX,A,DP,B,A,B,B,D,B,D,C,0.4502483573971995,0.30289617544560765,0.3976216861531761,0.5060955243849461,0.20067291137998325,0.7341446427914918,0.5216732187921692,0.3655707584007645,0.4160939213422565,0.5847986672629827,0.44714852289065854,1
18,A,L,O,B,D,AB,C,AH,BM,A,DJ,B,A,A,B,D,B,B,D,0.4865588059955828,0.2802401207903437,0.20424416755430824,0.25124926361152394,0.2332214631448453,0.6203294392232671,0.49094202222961103,0.37736504792311454,0.302102883083236,0.35657193095278616,0.4024228046558925,1
19,A,I,C,A,F,AB,A,AH,H,A,GS,A,A,A,B,A,D,D,B,0.4667776423528235,0.4680272603893537,0.42460399605193255,0.28470329197235394,0.25779768313699025,0.2486514035462269,0.9336306230884062,0.35016995859833283,0.3924313901329899,0.2501458480099293,0.4160590598117249,0
20,A,I,A,A,E,BI,A,AV,AE,A,DJ,A,A,A,A,B,D,D,B,0.12167018462704055,0.2870188549492244,0.34257305656698345,0.3294846244834911,0.2882161674877909,0.7356374233886038,0.5100529183115187,0.34600800971854484,0.39540005690269897,0.26912937366053497,0.3288631558010565,0
22,A,N,D,C,F,AB,C,AN,BD,I,HG,A,B,A,A,B,D,D,B,0.3012919959867607,0.2172161930537249,0.18057351843717007,0.48967047990473406,0.30332046390409584,0.4222247582318181,0.7924116350409863,0.3179352374605092,0.3992283313499937,0.4114557760888597,0.26333516847210514,0
23,A,N,A,C,G,BI,I,AV,AO,A,BY,A,A,A,B,D,B,B,B,0.4797401727263765,0.9216699760778788,0.908959327195102,0.25535155974636664,0.28659943900504875,0.8033218876039393,0.8817755075007682,0.30865980998491793,0.6372392112691356,0.473728446580092,0.5221629016551457,1
25,B,F,A,A,G,BI,A,J,AE,C,HQ,A,A,A,B,D,B,B,B,0.6307596776211679,0.7837801793743724,0.7769056045224447,0.299539318983551,0.3863688444527473,0.7955520899617553,0.5867216699528514,0.7780246785098203,0.7596477840741365,0.3536666520469074,0.6640779733490452,1
36,B,J,C,A,F,BI,A,H,X,A,GS,A,A,A,B,B,D,D,B,0.4679159582785807,0.4272439347545097,0.4483392570026058,0.31640215945528005,0.8059841305806995,0.3567274730796347,0.4860329553407533,0.391164209433524,0.3457721868859009,0.2562985135017317,0.3990933602779715,0
37,A,I,A,A,E,BI,A,U,BM,A,DP,A,A,A,A,B,D,D,B,0.2587504475732337,0.3266643408903329,0.4040194011832032,0.6370510488480235,0.7901668117916152,0.6794528754173175,0.5713947337445254,0.3688916712936914,0.36073511605204,0.3865418911885813,0.3708926331352319,0
39,A,K,A,A,H,BI,C,E,AE,A,GS,A,A,A,A,B,D,D,B,0.3834884689102269,0.3115988123599913,0.3538729168656765,0.5768902281354577,0.7877451255436461,0.5583531338834746,0.9498182377372744,0.3825503631362,0.3454044990318794,0.28242294054838785,0.3177039474031161,1
40,B,I,A,B,G,BI,A,J,L,E,HQ,A,A,A,B,D,B,C,B,0.8155873557613708,0.7046087528379422,0.7797881198377563,0.651995868580584,0.6850235856649072,0.5557199331516741,0.5504572403138067,0.7239860894249148,0.6729559003760738,0.9496540107850586,0.6421288492622991,0
41,B,I,F,A,F,BI,A,AG,H,A,GS,A,A,A,A,B,D,D,B,0.3103784559411098,0.3328217770849501,0.4895580532677892,0.3536750895162431,0.3849973575990735,0.17842136186268254,0.9334382486615632,0.35669609899046184,0.4424147491473364,0.2674266693642735,0.4131648299151172,0
43,A,J,Q,A,G,BI,A,U,M,A,HX,B,A,A,B,D,B,D,B,0.4989022840882127,0.5355945413068115,0.5308667524511594,0.14097343686858105,0.3173554313967301,0.4202116290710553,0.19712979059274785,0.5885636126519016,0.7300625882274372,0.5366460371627223,0.4186897855658544,1
46,A,K,C,B,E,BU,A,W,Y,A,JK,B,A,A,B,B,D,D,B,0.471849213694547,0.33225867047987845,0.3995517097559581,0.31089443340904066,0.5720123114361683,0.3543631732350365,0.2462560571209772,0.3910921057786224,0.3801949011864252,0.5682816762431819,0.5405343737703492,0
47,A,I,A,C,F,AB,A,AS,BM,A,DJ,A,A,A,B,D,B,C,C,0.44807769151062027,0.2770218190660462,0.3402568745147229,0.36010071734067506,0.2309796907207405,0.737655701759817,0.5251631101175901,0.3640133130326267,0.3655772983977915,0.3124065292949858,0.3237552146337576,1
49,A,L,D,C,F,BI,A,AA,AX,A,FJ,B,A,A,B,B,D,D,B,0.6970186485250476,0.7797980655553169,0.8416271182133233,0.24674691020047165,0.6857411158493136,0.6785710057545972,0.4032525781765556,0.35881071230089795,0.4185343056204249,0.7259760599578492,0.3973263716945523,0
51,A,F,A,B,F,BI,A,E,AD,F,LM,A,A,A,B,D,B,D,B,0.9535145167343712,0.7786562798117012,0.7209207739618727,0.8467200709173559,0.6775183064103735,0.5550024442830884,0.2509998001795125,0.8993081562804838,0.6915348964571167,0.8112481479997308,0.9723339661292698,0
52,A,N,A,B,E,BI,A,E,AE,L,DJ,A,A,A,A,B,D,D,B,0.1910277718374772,0.3357744146277813,0.3611863103413705,0.590623061525951,0.7953492786306806,0.2517052050704105,0.3797079330904214,0.3360043488891234,0.3480917772282069,0.302619315930965,0.3234359449780752,0
55,B,J,C,A,F,BI,A,B,AX,A,HK,B,A,A,A,B,D,D,B,0.4022113044362037,0.6865800935820839,0.7109791884512859,0.6355909227932887,0.22757819340061794,0.7989645327960383,0.6622091055695354,0.6674910771348713,0.3968723607423765,0.5347847231336327,0.4572416183328567,0
56,A,I,A,C,M,BI,G,F,AT,A,MD,A,A,A,A,D,B,B,D,0.6557379865084351,0.9466789057876848,0.9749758153581058,0.17002862478793926,0.2329274068693464,0.730944567190634,0.5482136274845429,0.5020331641906597,0.9817209848832704,0.33112320394403405,0.3249901360937332,1
58,A,F,A,A,E,BI,A,E,BM,A,IG,A,A,A,A,B,D,D,B,0.7134950826917732,0.5970229350159495,0.6409514740237576,0.724871254452174,0.7800965986447769,0.07892290359622807,0.14016293227316054,0.8920197409075099,0.6005858451875219,0.455069057268197,0.9577059437391362,0
60,A,I,A,A,G,BI,A,J,H,A,JG,A,A,A,A,D,B,D,B,0.6763548361871413,0.6512630630765354,0.623242183636051,0.2931955487921827,0.3843192312015748,0.7757647297831831,0.6365503300252405,0.6005194845914628,0.7394135775968609,0.5606450421018502,0.44977854631551056,0
61,B,I,J,B,E,BI,A,E,BM,A,LM,B,A,A,A,B,D,D,B,0.4472000811012575,0.8131661110920567,0.8655052763289812,0.2271926610803001,0.7944025172488256,0.09391124007038222,0.26741677092679456,0.5597369638799777,0.646660864930326,0.7073800234817652,0.40135745217609176,0
67,A,L,L,B,F,AB,A,AI,BH,A,GS,A,A,A,A,B,D,D,B,0.3203541820509122,0.40635929960150496,0.4622467546678837,0.2968719095482171,0.5611982981425107,0.16491888454453876,0.5207174021040408,0.2291738275172369,0.6825384071329601,0.5288831830305777,0.3020087173834023,0
